CarID,CarLabel,Name,ModelPath
343,`falcon_xr8_race_00`,2000 Ford Falcon XR8,0082/0001
345,`trueno_gt_apex_shigeno_00`,Toyota SPRINTER TRUENO GT-APEX (AE86 Shuichi Shigeno Version) '00,0004/0044
346,`clix_concept_01`,Hyundai CLIX '01,0083/0002
347,`coupe_27_v6_01`,Hyundai Coupe FX '01,0083/0001
348,`clk_race_00`,Mercedes-Benz CLK Touring Car '00,0053/0006
349,`barchetta_gd_00`,Fiat Barchetta Giovane Due '00,0024/0003
350,`punto_hgt_abarth_00`,Fiat Punto HGT Abarth '00,0024/0005
351,`r32_gtr_stune_00`,NISMO Skyline GT-R S-tune (R32) '00,0061/0003
352,`z_act_70`,Honda Z ACT '70,0005/0039
353,`mirage_cyborg_zr_97`,Mitsubishi MIRAGE    CYBORG ZR '97,0012/0020
354,`be1_87`,Nissan Be-1 '87,0003/0035
355,`r30_skyline_ht2000_turbo_rs_83`,Nissan SKYLINE Hard Top 2000 Turbo RS (R30) '83,0003/0041
357,`sera_92`,Toyota SERA '92,0004/0043
358,`legacy_b4_20gt_03`,Subaru LEGACY B4 2.0GT '03,0020/0015
359,`legacy_wgn_20gt_03`,Subaru LEGACY Touring Wagon 2.0GT '03,0020/0016
360,`saleen_s7_02`,Saleen S7 '02,0064/0001
361,`m3_gtr_alms_01`,BMW M3 GTR Race Car '01,0007/0003
362,`_190e_evo2_dtm_92`,AMG Mercedes 190 E 2.5 - 16 Evolution II '92,0053/0003
363,`t350c_03`,TVR T350C '03,0015/0006
364,`golf_r32_3d_03`,Volkswagen Golf IV R32 '03,0037/0007
365,`_155_v6ti_dtm_93`,Alfa Romeo 155 2.5 V6 TI '93,0010/0005
366,`carol_360_deluxe_62`,Mazda Carol 360 Deluxe '62,0001/0015
367,`opel_calibra_race_94`,Opel Calibra Touring Car '94,0039/0003
368,`roadster_rs_00`,Mazda Roadster 1800 RS (NB) '00,0001/0016
370,`nsx_r_01`,Honda NSX-R Concept '01,0005/0060
371,`prelude_si_vtec_91`,Honda PRELUDE Si VTEC '91,0005/0038
372,`amuse_s2000_04`,Amuse S2000 Street Version '04,0180/0001
373,`cosmo_sport_68`,Mazda Cosmo Sport (L10B) '68,0001/0014
374,`rx7_gtx_90`,Mazda RX-7 GT-X (FC) '90,0001/0106
376,`r89c_89`,Nissan R89C '89,0003/0036
377,`r30_skyline_ht2000_rsx_tc_84`,Nissan SKYLINE Hard Top 2000 RS-X Turbo C (R30) '84,0003/0040
379,`impreza_coupe_wrx_sti6_99`,Subaru IMPREZA Coupe WRX typeR STi Version VI '99,0020/0018
380,`corvette_convertible_54`,Chevrolet Corvette Convertible (C1) '54,0022/0007
381,`srt4_03`,SRT4 '03,0051/0003
382,`a2_14_02`,Audi A2 1.4 '02,0057/0001
383,`a3_32_quattro_03`,Audi A3 3.2 quattro '03,0057/0004
385,`_320i_etcc_03`,BMW 320i Touring Car '03,0007/0005
386,`v12_lmr_99`,BMW V12 LMR '99,0007/0004
387,`_300sl_coupe_54`,Mercedes-Benz 300 SL Coupé '54,0053/0025
388,`clk_gtr_race_98`,AMG Mercedes CLK-LM '98,0053/0002
390,`opel_tigra_16i_99`,Opel Tigra 1.6i '99,0039/0001
392,`gtv_30v6_v24_01`,Alfa Romeo GTV 3.0 V6 24V '01,0010/0007
393,`stratos_wrc_77`,Lancia STRATOS Rally Car '77,0043/0004
394,`esprit_turbo_hc_87`,Lotus Esprit Turbo HC '87,0009/0004
395,`_120d_04`,BMW 120d '04,0007/0006
396,`nsx_r_02`,Honda NSX Type R '02,0005/0103
397,`celica_st185_wrc_95`,Toyota CELICA GT-FOUR Rally Car (ST185) '95,0004/0042
398,`arist_v300_00`,Toyota ARISTO V300 '00,0004/0041
400,`s3_02`,Audi S3 '02,0057/0006
401,`falken_gtr_nur_04`,Nissan FALKEN GT-R '04,0003/0044
412,`_206_s16_99`,Peugeot 206 S16 '99,0025/0010
413,`_350z_lm_us_02`,Nissan 350Z Concept LM Race Car,0003/0011
414,`accord_euro_r_02`,Honda ACCORD Euro-R '02,0005/0059
415,`accord_euror_00`,Honda ACCORD Euro-R '00,0005/0083
417,`acura_nsx_32l_97`,Acura NSX Coupe '97,0040/0004
424,`airtrek_turbo_02`,Mitsubishi AIRTREK    Turbo-R '02,0012/0022
425,`alfa_spider_30v6_01`,Alfa Romeo Spider 3.0i V6 24V '01,0010/0009
426,`altezza_as200_98`,Toyota ALTEZZA AS200 '98,0004/0059
427,`altezza_gita_as300_01`,Toyota ALTEZZA Gita AS300 '01,0004/0060
428,`altezza_lm_race_00`,Toyota ALTEZZA Touring Car,0004/0051
429,`altezza_rs200_98`,Toyota ALTEZZA RS200 '98,0004/0061
430,`beetle_20_00`,Volkswagen New Beetle 2.0 '00,0037/0011
431,`beetle_rsi_00`,Volkswagen New Beetle RSi '00,0037/0012
432,`c8_laviolette_02`,Spyker C8 Laviolette '01,0035/0001
433,`calsonic_gtr_00`,Nissan CALSONIC SKYLINE '00,0003/0112
434,`camaro_race_00`,Chevrolet Camaro LM Race Car,0022/0016
435,`cappuccino_95`,Suzuki Cappuccino (EA21R) '95,0006/0019
436,`celica_ss2_99`,Toyota CELICA SS-II (ZZT231) '99,0004/0065
437,`civic_r_eu_01`,"Honda CIVIC TYPE R (EP, EU) '01",0005/0064
438,`cl600_00`,Mercedes-Benz CL 600 '00,0053/0007
439,`clk55_00`,Mercedes-Benz CLK 55 AMG '00,0053/0008
440,`corvette_z06_00`,Chevrolet Corvette Z06 (C5) '00,0022/0010
441,`cz3_tar_tmv_01`,Mitsubishi CZ-3    Tarmac '01,0012/0040
442,`cz3_tar_wrc_01`,Mitsubishi CZ-3    Tarmac Rally Car,0012/0041
443,`db7_vantage_coupe_00`,Aston Martin DB7 Vantage Coupe '00,0062/0003
444,`demio_glx_99`,Mazda DEMIO GL-X '99,0001/0057
445,`elise_type72_01`,Lotus Elise Type 72 '01,0009/0009
446,`esprit_v8_se_98`,Lotus Esprit V8 SE '98,0009/0012
447,`evo6_wrc_99`,Mitsubishi Lancer Evolution VI    Rally Car '99,0012/0026
448,`gsx_r_4_tmv_01`,Suzuki GSX-R/4 '01,0006/0008
449,`gto_tt_98`,Mitsubishi GTO    Twin Turbo '98,0012/0052
451,`impreza_22b_98`,Subaru IMPREZA Coupe 22B-STi Version '98,0020/0019
452,`impreza_lm_race_00`,Subaru IMPREZA Super Touring Car,0020/0022
454,`impreza_wrc_01`,Subaru IMPREZA Rally Car '01,0020/0023
455,`impreza_wrc_prot_01`,Subaru IMPREZA Rally Car Prototype '01,0020/0028
456,`impreza_wrx_sti_00`,Subaru IMPREZA Sedan WRX STi Version (Type-I) '00,0020/0020
457,`infiniti_fx45_dmv_02`,Infiniti FX45 Concept '02,0085/0001
458,`infiniti_g35_03`,Infiniti G35 Sedan '03,0085/0003
459,`lancer_evo6_rs_99`,Mitsubishi Lancer Evolution VI    RS '99,0012/0025
461,`lancer_evo7_gta_02`,Mitsubishi Lancer Evolution VII    GT-A '02,0012/0042
462,`lancer_evo7_rs_01`,Mitsubishi Lancer Evolution VII    RS '01,0012/0024
464,`lexus_is_us_98`,Lexus IS 200 '98,0074/0001
466,`lexus_is300_sc_us_01`,Lexus IS 300 Sport Cross '01,0074/0003
468,`lexus_sc430_eu_01`,Lexus SC 430 (EU) '01,0074/0004
469,`lexus_sc430_us_01`,Lexus SC 430 (US) '01,0074/0005
470,`loctite_gtr_00`,Nissan LOCTITE ZEXEL GT-R '00,0003/0111
471,`lupo_gti_01`,Volkswagen Lupo GTI '01,0037/0014
472,`mazda6_tmv_01`,Mazda6 Concept '01,0001/0054
473,`mazda6_tmv_n1_01`,Mazda6 Touring Car,0001/0056
